GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,SEA
2023112302,2023-11-23,2,9,22,SEA,SF,4,1,11,0,0,"(9:22) 4-M.DICKSON PUNTS 51 YARDS TO SF 38, CENTER-41-C.STOLL. 3-R.MCCLOUD TO SF 42 FOR 4 YARDS (59-J.RHATTIGAN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,12,1238,0,0
2023112302,2023-11-23,2,9,10,SF,SEA,1,10,42,1,0,(9:10) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 11-B.AIYUK TO SEA 36 FOR 22 YARDS (20-J.LOVE; 54-B.WAGNER).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,12,1250,0,0
2023112302,2023-11-23,2,8,26,SF,SEA,1,10,64,0,0,(8:26) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 11-B.AIYUK.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,12,1294,0,0
2023112302,2023-11-23,2,8,20,SF,SEA,2,10,64,0,0,(8:20) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO SEA 35 FOR 1 YARD (99-L.WILLIAMS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OPP,0,,0,,0,12,1300,0,0
2023112302,2023-11-23,2,7,35,SF,SEA,3,9,65,1,0,(7:35) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 85-G.KITTLE TO SEA 24 FOR 11 YARDS (33-J.ADAMS).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,1345,0,0
2023112302,2023-11-23,2,6,50,SF,SEA,1,10,76,0,0,(6:50) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP MIDDLE TO 11-B.AIYUK (21-D.WITHERSPOON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,12,1390,0,0
2023112302,2023-11-23,2,6,45,SF,SEA,2,10,76,0,0,(6:45) 23-C.MCCAFFREY UP THE MIDDLE TO SEA 20 FOR 4 YARDS (54-B.WAGNER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OPP,0,,0,,0,12,1395,0,0
2023112302,2023-11-23,2,6,1,SF,SEA,3,6,80,1,0,(6:01) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 19-D.SAMUEL TO SEA 8 FOR 12 YARDS (54-B.WAGNER; 56-J.BROOKS).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,12,1439,0,0
2023112302,2023-11-23,2,5,19,SF,SEA,1,8,92,1,0,"(5:19) 23-C.MCCAFFREY LEFT GUARD FOR 8 YARDS, TOUCHDOWN.",0,2023,8,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,8,OPP,0,,0,,0,12,1481,0,0
2023112302,2023-11-23,2,5,11,SEA,SF,0,0,65,1,0,4-J.MOODY KICKS 58 YARDS FROM SF 35 TO SEA 7. 1-D.ESKRIDGE TO SEA 28 FOR 21 YARDS (0-S.WOMACK; 28-D.LUTER).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,1489,0,0
2023112302,2023-11-23,2,5,11,SEA,SF,0,0,100,1,0,TIMEOUT AT 05:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1489,0,0
2023112302,2023-11-23,2,5,11,SF,SEA,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,1489,0,0
