GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,SF
2023102300,2023-10-23,2,7,33,MIN,SF,0,0,100,1,0,TIMEOUT AT 07:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,1347,0,0
2023102300,2023-10-23,2,7,33,SF,MIN,1,10,25,0,0,(7:33) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 85-G.KITTLE TO SF 31 FOR 6 YARDS (24-C.BYNUM).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,7,1347,0,0
2023102300,2023-10-23,2,6,53,SF,MIN,2,4,31,0,0,(6:53) (SHOTGUN) 23-C.MCCAFFREY LEFT GUARD TO SF 33 FOR 2 YARDS (21-A.EVANS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,31,OWN,0,,0,,0,7,1387,0,0
2023102300,2023-10-23,2,6,4,SF,MIN,3,2,33,0,0,"(6:04) (SHOTGUN) PENALTY ON SF, DELAY OF GAME, 5 YARDS, ENFORCED AT SF 33 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,33,OWN,1,SF,1,DELAY OF GAME,5,7,1436,0,0
2023102300,2023-10-23,2,5,49,SF,MIN,3,7,28,1,0,(5:49) (SHOTGUN) 13-B.PURDY PASS DEEP LEFT TO 11-B.AIYUK TO MIN 47 FOR 25 YARDS (24-C.BYNUM).,0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,7,1451,0,0
2023102300,2023-10-23,2,5,4,SF,MIN,1,10,53,0,0,(5:04) 23-C.MCCAFFREY RIGHT END PUSHED OB AT MIN 44 FOR 3 YARDS (21-A.EVANS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,47,OPP,0,,0,,0,7,1496,0,0
2023102300,2023-10-23,2,4,28,SF,MIN,2,7,56,0,0,(4:28) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 11-B.AIYUK TO MIN 38 FOR 6 YARDS (7-B.MURPHY).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,7,1532,0,0
2023102300,2023-10-23,2,3,47,SF,MIN,3,1,62,1,0,(3:47) 23-C.MCCAFFREY LEFT TACKLE TO MIN 35 FOR 3 YARDS (58-J.HICKS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,38,OPP,0,,0,,0,7,1573,0,0
2023102300,2023-10-23,2,3,12,SF,MIN,1,10,65,0,0,"(3:12) (SHOTGUN) 25-E.MITCHELL UP THE MIDDLE TO MIN 36 FOR -1 YARDS (90-J.BULLARD, 58-J.HICKS).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OPP,0,,0,,0,7,1608,0,0
2023102300,2023-10-23,2,2,30,SF,MIN,2,11,64,0,0,(2:30) (SHOTGUN) 13-B.PURDY PASS SHORT RIGHT TO 15-J.JENNINGS TO MIN 26 FOR 10 YARDS (58-J.HICKS; 25-TH.JACKSON).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,7,1650,0,0
2023102300,2023-10-23,2,2,0,SF,MIN,0,0,100,1,0,TIMEOUT #1 BY SF AT 02:00.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,1680,0,0
2023102300,2023-10-23,2,2,0,SF,MIN,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,7,1680,0,0
2023102300,2023-10-23,2,2,0,SF,MIN,3,1,74,1,0,(2:00) 23-C.MCCAFFREY RIGHT TACKLE TO MIN 18 FOR 8 YARDS (24-C.BYNUM).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,26,OPP,0,,0,,0,7,1680,0,0
